Option Number,Option Name,Option Description,Building Phase Code,Product Name,Product Code,Product Description,Quantity,Use,Dependent Condition,Unit,Source,Style Name
4644,PL_Opt_RT_3,,24,PL_Product_Condition_101,,-----,10101,-----,,-----,Planswift,DEFAULT
4644,PL_Opt_RT_3,,24,PL_Product_Condition_102,,-----,10102,-----,PL_Opt_RT,-----,Planswift,DEFAULT
4644,PL_Opt_RT_3,,24,PL_Product_Condition_103,,-----,10103,-----,(PL_Opt_RT),-----,Planswift,DEFAULT
4644,PL_Opt_RT_3,,24,PL_Product_Condition_104,,-----,10104,-----,((PL_Opt_RT)),-----,Planswift,DEFAULT
4644,PL_Opt_RT_3,,24,PL_Product_Condition_105,,-----,10105,-----,PL_Opt_Condition_1 and PL_Opt_Condition_2,-----,Planswift,DEFAULT
4644,PL_Opt_RT_3,,24,PL_Product_Condition_106,,-----,10106,-----,not PL_Opt_Condition_1,-----,Planswift,DEFAULT
4644,PL_Opt_RT_3,,24,PL_Product_Condition_107,,-----,10107,-----,not (PL_Opt_Condition_1 or (PL_Opt_Condition_2 or PL_Opt_Condition_3)),-----,Planswift,DEFAULT
4644,PL_Opt_RT_3,,24,PL_Product_Condition_108,,-----,10108,-----,( not ((PL_Opt_Condition_1 or PL_Opt_Condition_2) or PL_Opt_Condition_3)),-----,Planswift,DEFAULT
4644,PL_Opt_RT_3,,24,PL_Product_Condition_109,,-----,10109,-----,not ABCXYZ,-----,Planswift,DEFAULT
4644,PL_Opt_RT_3,,24,PL_Product_Condition_110,,-----,10110,-----,PL_Opt_RT_2 or PL_Opt_RT_3,-----,Planswift,DEFAULT
4644,PL_Opt_RT_3,,24,PL_Product_Condition_111,,-----,10111,-----,PL_Opt_RT_2,-----,Planswift,DEFAULT
4644,PL_Opt_RT_3,,24,PL_Product_Condition_112,,-----,10112,-----,not (PL_Opt_RT_2 or PL_Opt_RT_3),-----,Planswift,DEFAULT
4644,PL_Opt_RT_3,,24,PL_Product_Condition_113,,-----,10113,-----,not (PL_Opt_RT_2 or (PL_Opt_RT_3 or PL_Opt_RT_4)),-----,Planswift,DEFAULT
4644,PL_Opt_RT_3,,24,PL_Product_Condition_114,,-----,10114,-----,PL_Opt_Condition_2 and PL_Opt_RT_2,-----,Planswift,DEFAULT
4644,PL_Opt_RT_3,,24,PL_Product_Condition_115,,-----,10115,-----,PL_Opt_Condition_2 or PL_Opt_RT_2,-----,Planswift,DEFAULT
4644,PL_Opt_RT_3,,24,PL_Product_Condition_116,,-----,10116,-----,PL_Opt_Condition_1 and (not PL_Opt_Condition_2),-----,Planswift,DEFAULT
